,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,firstperiodGradeMath,secondperiodGradeMath,thirdperiodGradeMath,firstperiodGradePort,secondperiodGradePort,thirdperiodGradePort
0,GP,F,15,R,GT3,T,1,1,at_home,other,home,yes,yes,mother,2,4,1,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10,13,13,13
1,GP,F,15,R,GT3,T,1,1,other,other,reputation,no,yes,mother,1,2,2,yes,yes,no,no,yes,yes,3,3,4,2,4,5,2,8,6,5,13,11,11
2,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,yes,no,mother,1,1,0,yes,yes,yes,yes,yes,no,4,3,1,1,1,2,8,14,13,13,14,13,12
3,GP,F,15,R,GT3,T,2,4,services,health,course,yes,yes,mother,1,3,0,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8,10,11,10
4,GP,F,15,R,GT3,T,3,3,services,services,reputation,yes,yes,other,2,3,2,no,yes,yes,yes,yes,yes,4,2,1,2,3,3,8,10,10,10,13,13,13
5,GP,F,15,R,GT3,T,3,4,services,health,course,yes,yes,mother,1,3,0,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11,11,12,12
6,GP,F,15,R,GT3,T,3,4,services,teacher,course,yes,yes,father,2,3,2,no,yes,no,no,yes,yes,4,2,2,2,2,5,0,12,0,0,10,11,12
7,GP,F,15,R,LE3,T,2,2,health,services,reputation,yes,yes,mother,2,2,0,yes,yes,yes,no,yes,no,4,1,3,1,3,4,2,8,9,8,11,10,11
8,GP,F,15,R,LE3,T,3,1,other,other,reputation,no,yes,father,2,4,0,no,yes,no,no,yes,no,4,4,2,2,3,3,12,16,16,16,15,15,15
9,GP,F,15,U,GT3,A,3,3,other,health,reputation,yes,no,father,1,4,0,yes,no,no,no,yes,no,4,3,3,1,1,4,10,10,11,11,10,10,10
10,GP,F,15,U,GT3,A,4,3,services,services,reputation,yes,yes,mother,1,2,0,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15,15,14,15
11,GP,F,15,U,GT3,T,1,1,at_home,other,course,no,yes,mother,3,1,0,no,yes,no,yes,yes,yes,4,3,3,1,2,4,0,8,0,0,11,12,13
12,GP,F,15,U,GT3,T,1,1,other,other,home,no,yes,father,1,2,0,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,9,10,10,13,12,12
13,GP,F,15,U,GT3,T,1,1,other,services,course,yes,yes,father,1,2,0,no,yes,yes,no,yes,no,4,4,2,1,2,5,0,8,11,11,12,12,12
14,GP,F,15,U,GT3,T,1,2,at_home,other,course,no,yes,mother,1,2,0,no,yes,yes,no,yes,no,4,3,2,1,1,5,2,10,11,11,13,12,13
15,GP,F,15,U,GT3,T,1,2,at_home,services,course,no,yes,mother,1,2,0,no,no,no,no,yes,no,3,2,3,1,2,1,2,16,15,15,14,14,14
16,GP,F,15,U,GT3,T,2,1,services,other,reputation,yes,yes,father,3,3,0,no,yes,no,yes,yes,no,5,2,2,1,1,4,4,10,12,12,10,12,13
17,GP,F,15,U,GT3,T,2,2,other,other,course,yes,yes,mother,1,4,0,yes,yes,yes,no,yes,no,5,1,2,1,1,3,8,7,8,8,10,10,10
18,GP,F,15,U,GT3,T,2,3,other,other,other,yes,no,father,2,1,0,no,yes,no,yes,yes,no,3,5,1,1,1,5,0,8,7,6,11,11,11
19,GP,F,15,U,GT3,T,3,2,health,services,home,yes,yes,father,1,2,3,no,yes,no,no,yes,no,3,3,2,1,1,3,0,6,7,0,11,11,11
20,GP,F,15,U,GT3,T,3,2,services,other,home,yes,yes,mother,2,2,0,yes,yes,yes,no,yes,no,4,3,5,1,1,2,26,7,6,6,11,10,10
21,GP,F,15,U,GT3,T,4,2,health,services,home,yes,yes,mother,1,3,0,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15,14,14,14
22,GP,F,15,U,GT3,T,4,2,other,other,reputation,yes,yes,mother,1,3,0,no,yes,no,yes,yes,no,5,3,3,1,3,1,4,13,14,14,15,15,15
23,GP,F,15,U,GT3,T,4,3,services,other,reputation,yes,yes,mother,1,1,0,no,no,yes,yes,yes,no,4,5,5,1,3,1,4,16,17,18,14,13,13
24,GP,F,15,U,GT3,T,4,4,services,at_home,course,yes,yes,mother,1,3,0,no,yes,no,yes,yes,yes,4,3,3,1,1,5,0,11,0,0,13,14,15
25,GP,F,15,U,GT3,T,4,4,services,services,course,yes,yes,mother,1,1,0,yes,yes,yes,no,yes,no,3,3,4,2,3,5,0,8,10,11,13,12,12
26,GP,F,15,U,GT3,T,4,4,services,services,reputation,yes,yes,father,2,2,2,no,no,yes,no,yes,yes,4,4,4,2,3,5,6,7,9,8,12,11,12
27,GP,F,15,U,GT3,T,4,4,services,teacher,other,no,yes,father,1,2,1,yes,yes,no,yes,yes,no,4,4,4,1,1,3,2,7,7,7,13,12,12
28,GP,F,15,U,GT3,T,4,4,teacher,health,reputation,yes,yes,mother,1,2,0,no,yes,yes,no,yes,no,3,3,3,1,2,2,0,10,8,9,14,14,14
29,GP,F,15,U,GT3,T,4,4,teacher,services,course,yes,yes,mother,1,3,0,no,yes,yes,yes,yes,no,4,2,2,1,1,5,2,9,11,11,13,13,13
30,GP,F,15,U,GT3,T,4,4,teacher,teacher,course,yes,yes,mother,2,1,0,no,no,no,yes,yes,no,4,3,2,1,1,5,0,16,16,15,13,14,14
31,GP,F,15,U,LE3,A,3,3,other,other,other,yes,yes,mother,1,1,0,no,no,yes,no,yes,no,5,3,4,4,4,1,6,10,13,13,13,12,13
32,GP,F,15,U,LE3,A,3,4,other,other,home,yes,yes,mother,1,2,0,yes,no,no,yes,yes,yes,5,3,2,1,1,1,0,7,10,11,10,11,11
33,GP,F,15,U,LE3,A,4,3,other,other,course,yes,yes,mother,1,2,0,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6,10,11,11
34,GP,F,15,U,LE3,T,1,1,at_home,other,other,yes,yes,mother,1,2,3,yes,no,yes,no,yes,no,4,3,2,2,3,3,10,7,8,10,12,13,12
35,GP,F,15,U,LE3,T,3,2,services,other,reputation,yes,yes,mother,1,2,0,no,yes,yes,no,yes,no,4,4,4,1,1,5,10,7,6,6,12,11,11
36,GP,F,15,U,LE3,T,4,2,health,other,other,yes,yes,mother,1,2,0,no,yes,yes,no,yes,no,4,3,3,1,1,5,2,11,13,13,16,14,16
37,GP,F,15,U,LE3,T,4,3,services,services,reputation,yes,yes,father,1,2,0,yes,no,no,yes,yes,yes,4,4,4,2,4,2,0,10,10,10,13,12,12
38,GP,F,16,R,GT3,T,2,2,services,services,reputation,no,yes,mother,2,4,0,no,yes,yes,yes,yes,no,5,3,5,1,1,5,6,10,10,11,13,13,13
39,GP,F,16,R,GT3,T,3,3,services,other,reputation,yes,yes,father,1,3,1,yes,yes,no,yes,yes,no,4,1,2,1,1,2,0,7,10,10,11,11,11
40,GP,F,16,R,GT3,T,4,4,health,teacher,other,yes,no,mother,1,2,0,no,yes,no,yes,yes,no,2,4,4,2,3,4,6,10,11,11,17,16,16
41,GP,F,16,U,GT3,A,2,1,other,other,other,yes,yes,mother,1,2,0,no,no,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10,12,13,12
42,GP,F,16,U,GT3,A,2,2,other,other,reputation,yes,yes,mother,1,2,0,yes,yes,yes,no,yes,no,3,3,4,1,1,4,0,12,13,14,13,13,13
43,GP,F,16,U,GT3,A,3,1,services,other,course,yes,yes,mother,1,2,3,no,yes,yes,no,yes,no,2,3,3,2,2,4,5,7,7,7,11,11,12
44,GP,F,16,U,GT3,A,3,3,other,other,course,no,yes,other,2,1,2,no,yes,no,yes,yes,yes,4,3,2,1,1,5,0,4,0,0,9,9,10
45,GP,F,16,U,GT3,A,3,4,services,other,course,yes,yes,father,1,1,0,no,no,no,no,yes,no,3,2,1,1,4,5,16,12,11,11,15,13,14
46,GP,F,16,U,GT3,T,1,1,at_home,other,home,yes,no,mother,2,1,0,no,yes,yes,no,yes,no,4,3,2,1,4,5,6,9,9,10,12,13,13
47,GP,F,16,U,GT3,T,1,1,services,services,course,no,yes,father,4,1,0,yes,yes,no,yes,yes,yes,5,5,5,5,5,5,6,10,8,11,10,10,16
48,GP,F,16,U,GT3,T,1,3,at_home,services,home,no,yes,mother,1,2,3,no,no,no,yes,yes,yes,4,3,5,1,1,3,0,8,7,0,14,13,13
49,GP,F,16,U,GT3,T,2,1,other,other,course,yes,no,mother,1,2,0,no,yes,yes,no,yes,yes,4,3,5,1,1,5,2,8,9,10,13,12,12
50,GP,F,16,U,GT3,T,2,1,other,other,home,yes,yes,mother,1,1,0,no,no,no,no,yes,yes,4,5,2,1,1,5,20,13,12,12,9,10,10
51,GP,F,16,U,GT3,T,2,2,at_home,other,home,yes,yes,mother,1,2,1,yes,no,no,yes,yes,no,3,1,2,1,1,5,6,10,13,13,8,10,10
52,GP,F,16,U,GT3,T,2,2,other,other,home,no,yes,mother,1,2,0,no,yes,yes,no,yes,no,5,1,5,1,1,4,0,6,7,0,12,12,13
53,GP,F,16,U,GT3,T,2,2,other,other,home,yes,yes,mother,1,2,0,no,no,yes,no,yes,yes,5,4,4,1,1,5,0,8,7,8,12,11,11
54,GP,F,16,U,GT3,T,2,2,other,other,reputation,yes,yes,mother,1,4,0,no,no,yes,no,yes,yes,5,2,3,1,3,3,0,11,11,11,13,13,13
55,GP,F,16,U,GT3,T,2,2,services,other,reputation,no,yes,mother,2,2,0,no,no,yes,yes,yes,no,3,4,4,1,4,5,2,13,13,11,13,12,14
56,GP,F,16,U,GT3,T,2,2,services,services,home,no,yes,mother,1,1,2,no,yes,yes,no,yes,no,1,2,2,1,3,5,14,6,9,8,10,11,12
57,GP,F,16,U,GT3,T,2,3,other,other,reputation,yes,no,mother,1,2,0,yes,yes,yes,yes,yes,no,4,4,3,1,3,4,6,8,10,10,11,12,12
58,GP,F,16,U,GT3,T,2,3,services,services,course,yes,yes,mother,1,2,0,no,no,no,no,yes,no,4,3,3,1,1,2,10,11,12,13,12,12,13
59,GP,F,16,U,GT3,T,2,3,services,teacher,other,yes,yes,mother,1,2,0,yes,no,no,no,yes,no,2,3,1,1,1,3,2,16,16,17,13,13,14
60,GP,F,16,U,GT3,T,3,1,services,other,course,yes,yes,mother,1,4,0,yes,yes,yes,no,yes,no,4,3,3,1,2,5,4,7,7,6,10,9,10
61,GP,F,16,U,GT3,T,3,2,other,other,reputation,yes,yes,mother,1,2,0,no,yes,yes,no,yes,no,1,2,2,1,2,1,14,12,13,12,14,15,16
62,GP,F,16,U,GT3,T,3,3,other,other,home,yes,no,father,1,2,0,no,yes,yes,no,yes,no,4,3,2,1,2,5,4,6,10,10,11,13,13
63,GP,F,16,U,GT3,T,3,3,other,other,home,yes,yes,mother,1,3,0,no,yes,yes,no,yes,yes,4,3,3,1,3,4,0,7,7,8,9,11,11
64,GP,F,16,U,GT3,T,3,3,other,other,reputation,yes,no,mother,3,2,0,yes,yes,no,yes,yes,no,5,3,2,1,1,4,4,8,10,10,13,14,14
65,GP,F,16,U,GT3,T,3,3,other,services,home,yes,yes,mother,1,2,0,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11,11,11,11
66,GP,F,16,U,GT3,T,3,4,at_home,other,course,yes,yes,mother,1,2,0,no,yes,no,no,yes,no,2,4,3,1,2,3,12,5,5,5,12,11,11
67,GP,F,16,U,GT3,T,4,2,health,services,home,yes,yes,father,1,2,0,no,no,yes,no,yes,yes,4,2,3,1,1,3,0,14,15,16,17,17,18
68,GP,F,16,U,GT3,T,4,2,services,other,course,yes,yes,mother,1,2,0,no,yes,no,no,yes,no,4,2,3,1,1,5,2,15,16,16,16,15,16
69,GP,F,16,U,GT3,T,4,2,teacher,services,home,yes,yes,mother,2,2,0,no,yes,yes,yes,yes,no,5,3,3,1,1,1,0,11,10,10,13,14,14
70,GP,F,16,U,GT3,T,4,3,health,other,home,yes,yes,mother,1,2,0,no,yes,no,yes,yes,no,4,3,5,1,5,2,2,16,16,16,14,14,15
71,GP,F,16,U,GT3,T,4,3,other,at_home,course,yes,yes,mother,1,3,0,yes,yes,yes,no,yes,no,5,3,5,1,1,3,0,7,9,8,12,13,13
72,GP,F,16,U,GT3,T,4,3,teacher,health,home,yes,yes,mother,1,3,0,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9,14,13,13
73,GP,F,16,U,GT3,T,4,3,teacher,other,other,yes,yes,mother,1,2,0,no,no,yes,yes,yes,yes,1,3,2,1,1,1,10,11,12,13,14,15,15
74,GP,F,16,U,GT3,T,4,4,health,health,reputation,yes,yes,mother,1,2,0,no,yes,yes,no,yes,yes,4,4,2,1,1,3,0,14,14,14,16,16,17
75,GP,F,16,U,GT3,T,4,4,health,other,home,yes,yes,mother,1,1,0,no,yes,no,no,yes,no,4,4,4,1,2,2,4,14,14,14,17,17,17
76,GP,F,16,U,GT3,T,4,4,other,other,reputation,no,yes,mother,1,1,0,no,no,no,yes,yes,no,5,3,4,1,2,1,6,11,14,14,12,13,13
77,GP,F,16,U,GT3,T,4,4,services,services,reputation,yes,yes,mother,1,3,0,no,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14,13,13,14
78,GP,F,16,U,GT3,T,4,4,teacher,services,home,no,yes,mother,1,3,0,no,yes,no,yes,yes,no,5,3,2,1,1,5,0,13,13,14,15,16,16
79,GP,F,16,U,LE3,A,3,3,other,services,home,yes,yes,mother,1,2,0,no,yes,no,no,yes,no,2,3,5,1,4,3,12,11,12,11,13,12,13
80,GP,F,16,U,LE3,T,1,1,at_home,at_home,course,yes,yes,mother,1,1,0,no,no,no,no,yes,no,3,4,4,3,3,1,2,14,14,13,10,11,11
81,GP,F,16,U,LE3,T,1,2,other,services,reputation,yes,yes,father,1,2,0,yes,no,no,yes,yes,no,4,4,3,1,1,1,4,8,10,9,13,13,10
82,GP,F,16,U,LE3,T,2,2,at_home,other,course,yes,no,mother,1,2,0,no,yes,no,no,yes,no,4,3,4,1,2,2,4,8,7,6,13,11,11
83,GP,F,16,U,LE3,T,2,2,other,at_home,course,yes,yes,father,2,2,1,yes,no,no,yes,yes,no,4,3,3,2,2,5,14,10,10,9,10,11,11
84,GP,F,16,U,LE3,T,2,2,other,other,home,no,yes,mother,2,2,1,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11,11,11,10
85,GP,F,16,U,LE3,T,2,2,services,services,course,yes,yes,mother,3,2,0,no,yes,yes,no,yes,no,4,3,3,2,3,4,2,12,13,13,14,13,13
86,GP,F,16,U,LE3,T,2,4,other,health,course,yes,yes,father,2,2,0,no,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,13,13,13,14,12,13
87,GP,F,16,U,LE3,T,3,1,other,other,home,yes,no,father,1,2,0,yes,yes,no,no,yes,no,3,3,3,2,3,2,4,7,6,6,12,13,12
88,GP,F,16,U,LE3,T,3,3,other,other,reputation,yes,yes,mother,2,2,0,no,yes,yes,yes,yes,no,4,4,5,1,1,4,4,10,11,9,14,14,15
89,GP,F,16,U,LE3,T,4,3,teacher,services,course,yes,yes,mother,3,2,0,no,yes,no,yes,yes,no,5,4,3,1,2,1,2,16,15,15,16,15,16
90,GP,F,16,U,LE3,T,4,4,health,health,other,yes,yes,mother,1,3,0,no,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,14,15,16,15,15,14
91,GP,F,16,U,LE3,T,4,4,teacher,teacher,reputation,yes,yes,mother,1,2,0,no,yes,yes,no,yes,no,4,5,2,1,2,3,0,9,9,10,11,10,11
92,GP,F,17,R,GT3,A,3,2,other,other,home,yes,yes,mother,1,2,0,no,yes,yes,no,yes,no,4,3,3,2,3,2,4,9,10,10,14,14,16
93,GP,F,17,R,GT3,T,2,1,at_home,services,course,yes,no,mother,3,2,0,no,no,no,yes,yes,no,2,1,1,1,1,3,2,13,11,11,13,13,13
94,GP,F,17,R,GT3,T,2,1,at_home,services,reputation,yes,yes,mother,2,2,0,no,yes,no,yes,yes,no,4,2,5,1,2,5,2,6,6,6,11,10,11
95,GP,F,17,R,GT3,T,2,2,other,other,reputation,yes,yes,mother,1,1,0,no,yes,no,no,yes,no,5,3,2,1,2,3,18,7,6,6,13,13,13
96,GP,F,17,R,GT3,T,2,4,at_home,other,course,yes,yes,father,1,3,0,no,yes,no,no,yes,yes,4,4,3,1,1,5,7,12,14,14,15,15,15
97,GP,F,17,R,GT3,T,3,4,at_home,services,course,no,yes,father,1,3,0,no,yes,yes,yes,yes,no,4,3,4,2,5,5,0,11,11,10,15,15,17
98,GP,F,17,R,GT3,T,4,3,teacher,other,reputation,yes,yes,mother,2,3,0,no,yes,yes,yes,yes,yes,4,4,2,1,1,4,6,7,7,7,11,12,12
99,GP,F,17,R,LE3,T,2,2,services,services,course,yes,yes,mother,1,3,0,no,yes,yes,yes,yes,no,3,3,2,2,2,3,3,11,11,11,11,11,10
100,GP,F,17,R,LE3,T,3,1,services,other,reputation,yes,no,mother,2,4,0,no,yes,yes,no,yes,no,3,1,2,1,1,3,6,18,18,18,18,19,19
101,GP,F,17,R,LE3,T,4,4,services,other,other,yes,no,mother,1,1,0,no,yes,yes,no,yes,no,5,2,1,1,2,3,12,8,10,10,12,11,11
102,GP,F,17,U,GT3,A,2,1,other,other,course,yes,yes,mother,2,3,0,no,no,no,yes,yes,yes,3,2,3,1,2,3,10,12,10,12,15,15,16
103,GP,F,17,U,GT3,A,2,2,at_home,at_home,home,yes,yes,father,1,2,1,no,yes,no,no,yes,yes,3,3,1,1,2,4,0,9,8,0,10,12,14
104,GP,F,17,U,GT3,A,3,3,health,other,reputation,no,yes,mother,1,2,0,no,yes,no,no,yes,yes,3,3,3,1,3,3,6,8,7,9,12,13,14
105,GP,F,17,U,GT3,A,4,3,services,services,course,yes,yes,mother,1,2,0,no,yes,yes,no,yes,yes,5,2,2,1,2,5,23,13,13,13,15,14,17
106,GP,F,17,U,GT3,A,4,4,other,teacher,home,yes,no,mother,2,2,0,yes,yes,no,no,yes,no,4,1,4,1,1,1,6,6,5,6,10,13,13
107,GP,F,17,U,GT3,T,1,1,at_home,other,course,no,yes,father,1,2,0,no,yes,no,no,yes,no,5,3,3,1,1,3,4,5,5,6,9,11,11
108,GP,F,17,U,GT3,T,1,1,at_home,other,reputation,yes,no,mother,1,3,1,no,yes,no,yes,yes,yes,4,3,4,1,1,5,0,6,5,0,12,12,12
109,GP,F,17,U,GT3,T,1,1,at_home,services,course,yes,yes,mother,1,2,0,no,no,no,yes,yes,no,5,3,3,1,1,3,0,8,8,9,12,11,12
110,GP,F,17,U,GT3,T,1,1,other,other,course,no,no,mother,1,2,0,no,yes,yes,no,yes,no,4,4,4,1,3,1,4,9,9,10,14,15,15
111,GP,F,17,U,GT3,T,1,1,services,teacher,reputation,yes,yes,mother,1,3,0,no,yes,yes,no,yes,no,4,3,3,1,1,3,6,13,12,12,13,13,14
112,GP,F,17,U,GT3,T,2,2,at_home,at_home,course,yes,yes,mother,1,3,0,no,yes,yes,yes,yes,no,4,3,3,1,1,4,4,9,10,10,12,12,13
113,GP,F,17,U,GT3,T,2,2,other,other,course,no,yes,mother,1,2,0,no,yes,no,no,yes,no,5,4,5,1,2,5,4,10,9,11,12,12,14
114,GP,F,17,U,GT3,T,2,2,other,other,course,yes,no,mother,1,2,0,no,yes,no,no,yes,yes,4,2,2,1,1,3,12,11,9,9,14,13,13
115,GP,F,17,U,GT3,T,2,3,at_home,other,home,yes,no,father,2,1,0,no,yes,yes,no,yes,no,3,3,3,1,4,3,3,7,7,8,12,13,13
116,GP,F,17,U,GT3,T,2,4,at_home,health,reputation,yes,yes,mother,2,2,0,no,yes,yes,no,yes,yes,4,3,3,1,1,1,2,10,10,10,15,16,16
117,GP,F,17,U,GT3,T,2,4,services,services,reputation,yes,no,father,1,2,0,no,yes,no,yes,yes,no,5,4,2,2,3,5,0,16,17,17,17,18,17
118,GP,F,17,U,GT3,T,3,1,services,services,course,no,yes,father,1,3,0,no,yes,no,no,yes,no,3,4,3,2,3,5,1,12,14,15,17,18,17
119,GP,F,17,U,GT3,T,3,2,health,health,reputation,no,yes,father,1,4,0,no,yes,yes,yes,yes,no,5,2,2,1,2,5,0,17,17,18,18,18,18
120,GP,F,17,U,GT3,T,3,2,other,other,course,no,yes,mother,1,2,0,no,no,no,yes,yes,no,5,3,4,1,3,3,10,16,15,15,17,18,17
121,GP,F,17,U,GT3,T,3,2,other,other,home,yes,yes,mother,1,2,0,no,yes,yes,no,yes,yes,4,3,2,2,3,2,0,7,8,0,12,13,15
122,GP,F,17,U,GT3,T,3,3,other,other,home,no,no,mother,1,3,0,no,no,no,yes,yes,no,3,2,3,1,1,4,4,10,9,9,15,12,13
123,GP,F,17,U,GT3,T,3,4,at_home,services,home,yes,yes,mother,1,3,1,no,yes,yes,no,yes,yes,4,4,3,3,4,5,28,10,9,9,8,9,8
124,GP,F,17,U,GT3,T,3,4,services,other,course,yes,yes,mother,1,3,0,no,no,no,no,yes,no,4,4,5,1,3,5,16,16,15,15,11,13,14
